"paper_id","coder","paper_title","operationalization category","operationalization value","text evidence","notes"
88,"Amelia","Reproducibility in Management Science","Scope: unit","paper-level","""we asked reviewers for an overall assessment of their reproduction attempt"" (p. 1348); aggregation rule described in §2.3 (p. 1348)",
88,"Amelia","Reproducibility in Management Science","Scope: coverage","all claims","""individual reproducibility assessment of all results tables and figures and other results reported in the manuscript"" (p. 1347)",
89,"Amelia","Computational reproducibility in computational social science","Classification","ordinal","Three ordered tiers: 1°CR < 2°CR < 3°CR, defined by agent × materials-restrictiveness (Table 2, p.4).",
89,"Amelia","Computational reproducibility in computational social science","Scope: unit","not specified",,
89,"Amelia","Computational reproducibility in computational social science","Scope: coverage","not specified",,
90,"Amelia","A guide for social science journal editors on easing into open science","Classification","not specified",,
90,"Amelia","A guide for social science journal editors on easing into open science","Scope: unit","not specified",,
90,"Amelia","A guide for social science journal editors on easing into open science","Scope: coverage","not specified",,
91,"Amelia","CORE-bench: fostering the credibility of published research through a computational reproducibility agent benchmark","Classification","binary","""a task is marked as correct only if all of the task questions are answered correctly"" (p. 6)",
91,"Amelia","CORE-bench: fostering the credibility of published research through a computational reproducibility agent benchmark","Scope: unit","claim-level","""We determine if an agent correctly solves a task if the agent's reported results for all questions fall within a 95% prediction interval for every task question..."" (p. 7)",
91,"Amelia","CORE-bench: fostering the credibility of published research through a computational reproducibility agent benchmark","Scope: coverage","all claims",,
91,"Amelia","CORE-bench: fostering the credibility of published research through a computational reproducibility agent benchmark","Statistical criterion","Agent's numeric/text answer must fall within a 95% prediction interval derived from three independent manual reproductions of the capsule; accounts for stochastic outputs (17/181 questions are stochastic) (p. 7)",,
92,"Amelia","Audio-as-data tools: replicating computational data processing","Classification","not specified",,
92,"Amelia","Audio-as-data tools: replicating computational data processing","Scope: unit","not specified",,
92,"Amelia","Audio-as-data tools: replicating computational data processing","Scope: coverage","not specified",,
93,"Amelia","Unintended code errors and computational reproducibility","Classification","binary","""a study is coded as having an issue with computational reproducibility if we observe in the 'author report' any issue with code execution or output inconsistency"" (Methodology, p.~3) — issue/no-issue, not graded.",
93,"Amelia","Unintended code errors and computational reproducibility","Scope: unit","paper-level","""a study is coded as having an issue with computational reproducibility if we observe in the 'author report' any issue with code execution or output inconsistency"" (Methodology, p.~3) — issue/no-issue, not graded.",
93,"Amelia","Unintended code errors and computational reproducibility","Scope: coverage","all claims","Coders examined the full author report per study, covering all figures/tables/in-text results, both main text and supplementary materials (Table 1 breakdown, p.~5).",
94,"Amelia","Navigating the landscape of reproducible research: a predictive modeling approach","Classification","ordinal","""This framework categorizes papers into the following units Ei on the spectrum: ENR; EAR; ERE; ER"" (p. 4)",
94,"Amelia","Navigating the landscape of reproducible research: a predictive modeling approach","Scope: unit","paper-level","""The external-agent framework presents the reproducibility evaluation status of a paper based on the information available for an independent team to assess and validate the original study’s findings."" (p. 4)","This is only one part of the framework proposed by the author"
94,"Amelia","Navigating the landscape of reproducible research: a predictive modeling approach","Scope: coverage","not specified",,
95,"Amelia","Computational reproducibility in finance: evidence from 1,000 tests","Classification","binary","""a binary variable, contrasting full reproducibility (score of 100) with no/partial reproducibility (score lower than 100)"" (p. 3579)",
95,"Amelia","Computational reproducibility in finance: evidence from 1,000 tests","Scope: unit","claim-level","Score assigned per team per research question (1,008 total findings), p. 3567",
95,"Amelia","Computational reproducibility in finance: evidence from 1,000 tests","Scope: coverage","all claims","All 6 RQs per team scored; flagged above as researcher-assigned rather than paper-native claims",
95,"Amelia","Computational reproducibility in finance: evidence from 1,000 tests","Statistical criterion","Difference ≤10% of original = small; >10% = large; used to derive the 0/25/50/75/100 score, collapsed to full-vs-not for this operationalization","Table 2, p. 3568",
95,"Amelia","Computational reproducibility in finance: evidence from 1,000 tests","Classification","ordinal","The authors explicitly call it ""an ordinal variable with five levels (0, 25, 50, 75, and 100)"" (p. 3579)",
95,"Amelia","Computational reproducibility in finance: evidence from 1,000 tests","Scope: unit","claim-level","Score assigned per team per research question (1,008 total findings), p. 3567",
95,"Amelia","Computational reproducibility in finance: evidence from 1,000 tests","Scope: coverage","all claims","All 6 RQs per team scored; flagged above as researcher-assigned rather than paper-native claims",
95,"Amelia","Computational reproducibility in finance: evidence from 1,000 tests","Statistical criterion","Same ≤10%/>10% threshold, mapped to 5-level score per Table 2",,
96,"Amelia","Evaluating tools for enhancing reproducibility in computational scientific experiments","Classification","binary","""he labels are “Yes”, “No” and “-”, meaning “we could reproduce”, “we could not reproduce” and “the platform does not support this type of experiment”, respectively."" (p. 47)",
96,"Amelia","Evaluating tools for enhancing reproducibility in computational scientific experiments","Scope: unit","not specified",,
96,"Amelia","Evaluating tools for enhancing reproducibility in computational scientific experiments","Scope: coverage","not specified",,
97,"Amelia","Why and how we share reproducible research at yale university’s institution for social and policy studies","Classification","not specified",,
97,"Amelia","Why and how we share reproducible research at yale university’s institution for social and policy studies","Scope: unit","not specified",,
97,"Amelia","Why and how we share reproducible research at yale university’s institution for social and policy studies","Scope: coverage","not specified",,
98,"Amelia","Mass reproducibility and replicability: a new hope","Classification","continuum","""We rely on the Social Science Reproduction Platform (SSRP)'s 10-point scale... a rating of 1 signifies the incapacity to reproduce results due to the absence of data or code, while a rating of 10 indicates the capability to faithfully reproduce results from the raw data... to the final numerical results."" (p. 20); full level text in Appendix A.3 (pp. 57–58)",
98,"Amelia","Mass reproducibility and replicability: a new hope","Scope: unit","paper-level","""the assessment is made at the journal article level using responses from the team survey."" (p. 57)",
98,"Amelia","Mass reproducibility and replicability: a new hope","Scope: coverage","only focal or primary claims","""Their focus for computational reproducibility is only for the claims that they have investigated rather than all exhibits in the article."" (p. 20); ""Our project involves mass reproducing and replicating the main claims from studies published..."" (p. 5)",
99,"Amelia","Introducing reproducible research standards at the world bank","Classification","not specified",,
99,"Amelia","Introducing reproducible research standards at the world bank","Scope: unit","not specified",,
99,"Amelia","Introducing reproducible research standards at the world bank","Scope: coverage","not specified",,
100,"Amelia","Computational and robustness reproducibility of ""UN peacekeeping and democratization in conflict-affected countries""","Classification","ordinal","Fully, partially, and not reproducible (Table, p. 13)","applied separately to two tracks: from raw data and from analysis data"
100,"Amelia","Computational and robustness reproducibility of ""UN peacekeeping and democratization in conflict-affected countries""","Scope: unit","claim-level","""In terms of reproducibility, we successfully reproduced all regression tables in the paper (Tables 2 through 9) using their codes in Stata and could not detect any coding errors in the data manipulation part."" (p. 3)",
100,"Amelia","Computational and robustness reproducibility of ""UN peacekeeping and democratization in conflict-affected countries""","Scope: coverage","all claims","""In terms of reproducibility, we successfully reproduced all regression tables in the paper (Tables 2 through 9) using their codes in Stata and could not detect any coding errors in the data manipulation part."" (p. 3)",
101,"Amelia","Replicability of simulation studies for the investigation of statistical methods: the RepliSims project","Classification","not specified",,
101,"Amelia","Replicability of simulation studies for the investigation of statistical methods: the RepliSims project","Scope: unit","not specified",,
101,"Amelia","Replicability of simulation studies for the investigation of statistical methods: the RepliSims project","Scope: coverage","not specified",,
102,"Amelia","In-Class Data Analysis Replications: Teaching Students While Testing Science","Classification","ordinal","""we considered these outcomes as ordinal variables (1: the analysis replicated exactly, 2: ... qualitatively, 3: ... did not replicate at all)"" (Appendix B)",
102,"Amelia","In-Class Data Analysis Replications: Teaching Students While Testing Science","Scope: unit","claim-level","""We specified two figures or tables to replicate, a basic one... and an advanced one"" (p. 8) — assessment is per figure/table, not per paper.",
102,"Amelia","In-Class Data Analysis Replications: Teaching Students While Testing Science","Scope: coverage","fixed number of claims","Fixed at 2 claims (one basic, one advanced figure/table) per assigned paper.",
102,"Amelia","In-Class Data Analysis Replications: Teaching Students While Testing Science","Statistical criterion","""Exact"" = results ""agreed exactly with the paper, up to the decimals printed in the paper or shown in the figures""; ""Qualitative"" = ""small differences... but still agreed with the abstract-level findings""; ""Not at all"" = ""results that were in conflict with the abstract-level findings"" (Appendix B, Preregistered analysis plan: Replication outcomes).",,
103,"Amelia","The Challenges of Replicating Volatile Platform-Data Studies: Replicating Schatto-Eckrodt et al. (2020)","Classification","binary","""We viewed a reproduction as 'successful' when we could reproduce the original result quantitatively... We chose the exact quantitative agreement of results, as it is the strictest criterion for assessing reproduction success."" (p. 4)",
103,"Amelia","The Challenges of Replicating Volatile Platform-Data Studies: Replicating Schatto-Eckrodt et al. (2020)","Scope: unit","claim-level","""we identified 26 empirical claims in the original paper overall, including text passages, figures, and tables. We successfully reproduced 23, an 88.46% reproduction success rate."" (p. 5)",
103,"Amelia","The Challenges of Replicating Volatile Platform-Data Studies: Replicating Schatto-Eckrodt et al. (2020)","Scope: coverage","all claims","""cataloging all critical empirical claims... from Schatto‑Eckrodt et al."" (p. 4); ""26 empirical claims in the original paper overall"" (p. 5). Flag: ""critical"" could imply a filtered subset rather than literally all claims — your judgment call.",
103,"Amelia","The Challenges of Replicating Volatile Platform-Data Studies: Replicating Schatto-Eckrodt et al. (2020)","Statistical criterion","margin of error, and congruence of statistical measures (coefficient signs/CIs/hypothesis decisions (p. 4)",,
104,"Amelia","Reproduce to validate: a comprehensive study on the reproducibility of economics research","Classification","ordinal","""68 of 180 reproduction attempts fully reproduced the article’s analysis (37.8%). A further 66 (36.7%) were at least partially successful. The dominant reason for unsuccessful reproductions is the absence of confidential or proprietary data."" (p. 975)",
104,"Amelia","Reproduce to validate: a comprehensive study on the reproducibility of economics research","Scope: unit","paper-level",,
104,"Amelia","Reproduce to validate: a comprehensive study on the reproducibility of economics research","Scope: coverage","all claims",,
104,"Amelia","Reproduce to validate: a comprehensive study on the reproducibility of economics research","Statistical criterion","""Fully reproducible"" = all numbers/figures match up to minor rounding; ""partially reproducible"" = differences beyond rounding for some tables, but results qualitatively similar or main results hold while secondary/robustness results differ (p.973–974)",,
105,"Amelia","Promoting reproducibility and replicability in political science","Classification","not specified",,
105,"Amelia","Promoting reproducibility and replicability in political science","Scope: unit","not specified",,
105,"Amelia","Promoting reproducibility and replicability in political science","Scope: coverage","not specified",,
106,"Amelia","The data availability policies of political science journals","Classification","not specified",,
106,"Amelia","The data availability policies of political science journals","Scope: unit","not specified",,
106,"Amelia","The data availability policies of political science journals","Scope: coverage","not specified",,
107,"Amelia","Teaching constructive replications in the behavioral and social sciences using quantitative data","Classification","not specified",,
107,"Amelia","Teaching constructive replications in the behavioral and social sciences using quantitative data","Scope: unit","claim-level",,
107,"Amelia","Teaching constructive replications in the behavioral and social sciences using quantitative data","Scope: coverage","only focal or primary claims","""When evaluating inconsistencies in coding and analyses, students can focus on whether the direction, strength, and statistical significance of the focal effects are consistent with the findings of the original study."" (p. 120)",
108,"Amelia","Checklists for computational reproducibility in social sciences: insights from literature and survey evaluation","Classification","not specified",,
108,"Amelia","Checklists for computational reproducibility in social sciences: insights from literature and survey evaluation","Scope: unit","not specified",,
108,"Amelia","Checklists for computational reproducibility in social sciences: insights from literature and survey evaluation","Scope: coverage","not specified",,
109,"Amelia","A protocol for structured robustness reproductions and replicability assessments","Classification","ordinal","""When reporting the results, replicators categorize findings based on whether they are fully, partially, or non-reproducible, from both raw data and from analysis data."" (p. 3)","applied separately to two tracks: from raw data and from analysis data"
109,"Amelia","A protocol for structured robustness reproductions and replicability assessments","Scope: unit","paper-level","""The decisive criterion for a study to be computationally reproducible is whether the results obtained via re-running the original code match those presented in the paper."" (p. 4)",
109,"Amelia","A protocol for structured robustness reproductions and replicability assessments","Scope: coverage","only focal or primary claims","""A crucial step at the beginning of the robustness reproduction is to identify the main outcomes of the original paper. This is done by dissecting the abstract into claims and tracking down the corresponding coefficient for each claim within the paper."" (p. 4); and ""The main outcomes are those that are mentioned most prominently in the abstract (note: both statistically significant and null-results qualify)"" (Appendix, p. 11)",
110,"Amelia","Data and code availability in political science publications from 1995 to 2022","Classification","not specified",,
110,"Amelia","Data and code availability in political science publications from 1995 to 2022","Scope: unit","not specified",,
110,"Amelia","Data and code availability in political science publications from 1995 to 2022","Scope: coverage","not specified",,
112,"Amelia","REPRO-bench: can agentic AI systems assess the reproducibility of social science research?","Classification","ordinal","""a scale from 1 to 4, where different scores account for varying levels of consistency..."" (p.23620)",
112,"Amelia","REPRO-bench: can agentic AI systems assess the reproducibility of social science research?","Scope: unit","paper-level","Single reproducibility_score entry per task/paper (p.23621)",
112,"Amelia","REPRO-bench: can agentic AI systems assess the reproducibility of social science research?","Scope: coverage","only focal or primary claims","""the major findings of each paper as a list of all the items... reproduced in the corresponding reproduction report""; avg. 5 major findings/paper (p.23619, p.23621)",
113,"Amelia","Let’s talk about it: making scientific computational reproducibility easier","Classification","not specified",,
113,"Amelia","Let’s talk about it: making scientific computational reproducibility easier","Scope: unit","not specified",,
113,"Amelia","Let’s talk about it: making scientific computational reproducibility easier","Scope: coverage","not specified",,
114,"Amelia","SciConv: a conversational tool for reproducibility","Classification","not specified",,
114,"Amelia","SciConv: a conversational tool for reproducibility","Scope: unit","not specified",,
114,"Amelia","SciConv: a conversational tool for reproducibility","Scope: coverage","not specified",,
115,"Amelia","Similarity-based assessment of computational reproducibility in jupyter notebooks","Classification","continuum","""The quantitative evaluation of SRI leverages similarity metrics to compare two notebook cell outputs to generate a reproducibility score in the range [0, 1]."" (p. 2)",
115,"Amelia","Similarity-based assessment of computational reproducibility in jupyter notebooks","Scope: unit","claim-level","""After that, we apply different methods to the outputs based on this data type information."" (p. 3)","The unit to be checked are outputs of Jupyter Notebook, which can be int, float, list/tuple, set, dict, str, NumPy, Pandas Dataframe, image, and Miscellaneous."
115,"Amelia","Similarity-based assessment of computational reproducibility in jupyter notebooks","Scope: coverage","not specified",,
116,"Amelia","AutoReproduce: automatic AI experiment reproduction with paper lineage","Classification","continuum","Align-Score: LLM-judge (default o1) rates 5 key points 0–20 each (Paper-Level), or rates Overall Structure/Model Details/Training Details/Experimental Integrity 0–25 each (Code-Level), or a blended version (Mixed-Level); summed to /100",
116,"Amelia","AutoReproduce: automatic AI experiment reproduction with paper lineage","Scope: unit","paper-level",,
116,"Amelia","AutoReproduce: automatic AI experiment reproduction with paper lineage","Scope: coverage","only focal or primary claims",,
117,"Amelia","Computational reproducibility of R code supplements on OSF","Classification","binary","""we executed the R scripts within custom Docker containers and found that 25.87% completed successfully without error""",
117,"Amelia","Computational reproducibility of R code supplements on OSF","Scope: unit","claim-level",,"actually ""script-level"" but I think it is equivalent to ""claim-level"""
117,"Amelia","Computational reproducibility of R code supplements on OSF","Scope: coverage","all claims",,
117,"Amelia","Computational reproducibility of R code supplements on OSF","Classification","ordinal","""40 projects... in which all scripts executed without failure, indicating full project-level reproducibility. The other 68 successful scripts were from 34 projects... that also included at least one failed script, reflecting partial reproducibility. The remaining 175 projects... had no successfully executed scripts.""",
117,"Amelia","Computational reproducibility of R code supplements on OSF","Scope: unit","paper-level",,"actually ""project-level"" but I think it is equivalent to ""paper-level"""
117,"Amelia","Computational reproducibility of R code supplements on OSF","Scope: coverage","all claims",,
118,"Amelia","Tooling for reproducible research: considerations for the past and future of data analysis","Classification","not specified",,
118,"Amelia","Tooling for reproducible research: considerations for the past and future of data analysis","Scope: unit","not specified",,
118,"Amelia","Tooling for reproducible research: considerations for the past and future of data analysis","Scope: coverage","not specified",,
119,"Amelia","“Works on my machine”: a case study of replicability challenges inComputational humanities research","Classification","binary","""A project's dependencies were marked as reproducible only if the versions of all declared dependencies were explicitly and unambiguously specified... Even a single undeclared version... was sufficient for the project to be marked as non-reproducible."" (p. 145)",
119,"Amelia","“Works on my machine”: a case study of replicability challenges inComputational humanities research","Scope: unit","paper-level","""Of the 33 projects with available source code, only seven (about 20%) specified all dependencies with clearly defined version constraints and were thus classified as having reproducible dependency specifications."" (p. 145)",
119,"Amelia","“Works on my machine”: a case study of replicability challenges inComputational humanities research","Scope: coverage","not specified",,
120,"Amelia","Reproducibility spectrum for applied social sciences: conceptual taxonomy and recommended tools","Classification","not specified",,
120,"Amelia","Reproducibility spectrum for applied social sciences: conceptual taxonomy and recommended tools","Scope: unit","not specified",,
120,"Amelia","Reproducibility spectrum for applied social sciences: conceptual taxonomy and recommended tools","Scope: coverage","not specified",,
121,"Amelia","Statistical perspectives on reproducibility: definitions and challenges","Classification","ordinal","""On the lower end of the spectrum is limited code sharing, in the middle section of the spectrum is sharing code and data, and on the upper end of the spectrum is sharing a single file containing both data and code that can execute the full analysis of the data... this upper end of the spectrum means full replication, which is the gold standard for reproducibility"" (p. 6, describing Peng [119])",
121,"Amelia","Statistical perspectives on reproducibility: definitions and challenges","Scope: unit","not specified",,
121,"Amelia","Statistical perspectives on reproducibility: definitions and challenges","Scope: coverage","not specified",,
122,"Amelia","AIRepr: an analyst-inspector framework for evaluating reproducibility of LLMs in data science","Classification","binary","reproducible ""if and only if CA ≡ CI"" — R=0/1 used throughout Tables 6–14.",
122,"Amelia","AIRepr: an analyst-inspector framework for evaluating reproducibility of LLMs in data science","Scope: unit","claim-level","Each individual QA task/analysis solution gets its own R assessment — analogous to claim-level, not whole-paper.","Codebook's ""claim"" language assumes a published paper; here the unit is one LLM-generated analysis task."
122,"Amelia","AIRepr: an analyst-inspector framework for evaluating reproducibility of LLMs in data science","Scope: coverage","all claims","All 1,032 tasks across all LLM/prompt combinations are evaluated — no sampling or cap.",
122,"Amelia","AIRepr: an analyst-inspector framework for evaluating reproducibility of LLMs in data science","Statistical criterion","""Functional equivalence"": outcomes derived from independent code execution must be consistent (""the outcomes derived from their deterministic code execution... are consistent, even if CA and CI differ textually"", p.10173), operationalized via automated GPT-4o comparison scored 0/1 (Appendix Table 22: ""If the output of the two code snippets provide the same values for the same statistics and lead to the same conclusion to the question, please score 1. Otherwise, score 0."")",,
123,"Amelia","Why computational reproducibility matters","Classification","not specified",,
123,"Amelia","Why computational reproducibility matters","Scope: unit","not specified",,
123,"Amelia","Why computational reproducibility matters","Scope: coverage","not specified",,
124,"Amelia","Perceived problems, causes, and solutions of finance research reproducibility and replicability: a pre-registered report","Classification","not specified",,
124,"Amelia","Perceived problems, causes, and solutions of finance research reproducibility and replicability: a pre-registered report","Scope: unit","not specified",,
124,"Amelia","Perceived problems, causes, and solutions of finance research reproducibility and replicability: a pre-registered report","Scope: coverage","not specified",,
125,"Amelia","A report on ""corruption and Co-optation in autocracy: evidence from Russia""","Classification","ordinal","Reproducible from raw data, reproducible from analysis data (not reproducible, implied) p. 5",
125,"Amelia","A report on ""corruption and Co-optation in autocracy: evidence from Russia""","Scope: unit","paper-level","""After making these modifications, we were able to successfully reproduce all main results in the article"" (p.6)",
125,"Amelia","A report on ""corruption and Co-optation in autocracy: evidence from Russia""","Scope: coverage","all claims","""After making these modifications, we were able to successfully reproduce all main results in the article"" (p.6)",
126,"Amelia","Automated Reproducibility Testing in R Markdown","Classification","binary","p. 4: ""Identicality of the original and regenerated results is checked with the all.equal() function"" and p. 8: ""the current approach relies on testing whether results are exactly reproducible""",
126,"Amelia","Automated Reproducibility Testing in R Markdown","Scope: unit","not specified",,
126,"Amelia","Automated Reproducibility Testing in R Markdown","Scope: coverage","not specified",,
127,"Amelia","A framework for evaluating reproducibility and replicability in economics","Classification","binary","""For computational reproducibility the perhaps most natural indicator is to measure (yes/no) if all the results can be exactly reproduced in the paper or not, as the goal of for instance a journal Data Editor is to ensure this."" (p. 344)",
127,"Amelia","A framework for evaluating reproducibility and replicability in economics","Scope: unit","paper-level","""For computational reproducibility the perhaps most natural indicator is to measure (yes/no) if all the results can be exactly reproduced in the paper or not, as the goal of for instance a journal Data Editor is to ensure this."" (p. 344)",
127,"Amelia","A framework for evaluating reproducibility and replicability in economics","Scope: coverage","all claims","""For computational reproducibility the perhaps most natural indicator is to measure (yes/no) if all the results can be exactly reproduced in the paper or not, as the goal of for instance a journal Data Editor is to ensure this."" (p. 344)",
127,"Amelia","A framework for evaluating reproducibility and replicability in economics","Statistical criterion","X/N — statistically significant effect in same direction as original, at 5% level, two-sided p-value","""This indicator defines reproducibility as finding a statistically significant effect size in the same direction as the original study (typically evaluated at the 5% level based on two-sided p-values)."" (p. 344); footnote a to Table 4 confirms this applies to computational reproducibility: ""For computational and recreate reproducibility this will be one test/effect size/t-value (based on one reproducibility test)"" (p. 346)",
128,"Amelia","The reliability of replications: a study in computational reproductions","Classification","binary","The first we call a Directional Reproduction, a dichotomy where results simply point in the same direction and match a null hypothesis significance test that the coefficient is exactly zero with a cut-off of p < 0.05 or not. In this scenario, the exact numbers need not match for success. (p. 8)",
128,"Amelia","The reliability of replications: a study in computational reproductions","Scope: unit","claim-level","each individual odds ratio is assessed",
128,"Amelia","The reliability of replications: a study in computational reproductions","Scope: coverage","not specified",,
128,"Amelia","The reliability of replications: a study in computational reproductions","Statistical criterion",,"""results simply point in the same direction and match a null hypothesis significance test that the coefficient is exactly zero with a cut-off of p < 0.05 or not"" (p. 8)",
128,"Amelia","The reliability of replications: a study in computational reproductions","Classification","binary","...Exact Replication where results must be within 1% of the original. This reflects precision, an important aspect of science such that without it, we might not claim reliable results. (p. 8)",
128,"Amelia","The reliability of replications: a study in computational reproductions","Scope: unit","claim-level",,
128,"Amelia","The reliability of replications: a study in computational reproductions","Scope: coverage","not specified",,
128,"Amelia","The reliability of replications: a study in computational reproductions","Statistical criterion",,"""results must be within 1% of the original"" odds ratio (p. 8); specifically, the ratio difference must be within 0.01",
128,"Amelia","The reliability of replications: a study in computational reproductions","Classification","continuum","The third is a continuous variable capturing Replication Error measured as the absolute value of the ratio difference between the replicated odds ratio and original (p. 9)",
128,"Amelia","The reliability of replications: a study in computational reproductions","Scope: unit","claim-level",,
128,"Amelia","The reliability of replications: a study in computational reproductions","Scope: coverage","not specified",,
128,"Amelia","The reliability of replications: a study in computational reproductions","Statistical criterion",,"""absolute value of the ratio difference between the replicated odds ratio and original"" (p. 9) — a continuous measure on [0, ∞)",
129,"Amelia","Accelerating social science knowledge production with the coordinated open-source model","Classification","not specified",,
129,"Amelia","Accelerating social science knowledge production with the coordinated open-source model","Scope: unit","not specified",,
129,"Amelia","Accelerating social science knowledge production with the coordinated open-source model","Scope: coverage","not specified",,
130,"Amelia","Reproducibility in the classroom","Classification","not specified",,
130,"Amelia","Reproducibility in the classroom","Scope: unit","not specified",,
130,"Amelia","Reproducibility in the classroom","Scope: coverage","not specified",,
131,"Amelia","Guide for Accelerating Computational Reproducibility in the Social Sciences","Classification","ordinal","""The assessment includes a 10-point scale, where 1 represents that, under the current circumstances, reproducers cannot access any reproduction package. At level 10, the reproducer can access all of the necessary materials to faithfully reproduce the target display item from the raw data."" (Assessment - https://bitss.github.io/ACRE/assessment.html#score)","The book explicitly mentions 1-10 as a scoring system but it corresponds to qualitatively different characteristics. So I opted for ordinal."
131,"Amelia","Guide for Accelerating Computational Reproducibility in the Social Sciences","Scope: unit","claim-level","""Each claim is tested using different methodologies, presenting results in one or more display items (outputs like tables and figures). (Introduction https://bitss.github.io/ACRE/intro.html#reproduction-stages)""",
131,"Amelia","Guide for Accelerating Computational Reproducibility in the Social Sciences","Scope: coverage","fixed number of claims","""you should specify the parts of the paper that will be the main focus of your reproduction."" and ""you can reproduce up to five estimates that correspond to the preferred estimate’s alternative specifications"" (https://bitss.github.io/ACRE/scoping.html#declare-estimates)",
131,"Amelia","Guide for Accelerating Computational Reproducibility in the Social Sciences","Classification","binary","Computationally reproducible from analytic data (CRA): outputs can be reproduced with minimal effort starting from analytic datasets
Computationally reproducible from raw data (CRR): outputs can be reproduced with minimal effort from the raw dataset (https://bitss.github.io/ACRE/assessment.html#levels-of-computational-reproducibility-for-a-specific-display-item)","The book distinguishes two types of reproducibility, and this looks similar to what Arnim suggested during the kick-off meeting (horizontal/vertical)"
131,"Amelia","Guide for Accelerating Computational Reproducibility in the Social Sciences","Scope: unit","not specified",,
131,"Amelia","Guide for Accelerating Computational Reproducibility in the Social Sciences","Scope: coverage","not specified",,"Coverage not stated in the CRA/CRR definition quoted for this operationalization."
132,"Amelia","Long-term effects of the targeting the ultra poor program—a reproducibility and replicability assessment of banerjee et al. (2021)","Classification","ordinal","BITSS 10-point ""levels of computational reproducibility"" scale, BDS assigned ""the highest level""",
132,"Amelia","Long-term effects of the targeting the ultra poor program—a reproducibility and replicability assessment of banerjee et al. (2021)","Scope: unit","paper-level",,
132,"Amelia","Long-term effects of the targeting the ultra poor program—a reproducibility and replicability assessment of banerjee et al. (2021)","Scope: coverage","all claims",,
133,"Amelia","From guidelines to practice: evaluating the reproducibility of methods in computational social science","Classification","binary","""Task Completion (Reproducibility). Whether the workflow was successfully reproduced."" (3.5.1); reported as success-rate % and analyzed via chi-square (categorical) in 4.1.2",
133,"Amelia","From guidelines to practice: evaluating the reproducibility of methods in computational social science","Scope: unit","paper-level","""Each participant completed only one reproduction task"" (3.4); success/failure judged for the whole workflow, not individual claims",
133,"Amelia","From guidelines to practice: evaluating the reproducibility of methods in computational social science","Scope: coverage","not specified",,
134,"Amelia","PaperRepro: automated computational reproducibility assessment for social science papers","Classification","ordinal","""REPRO-Bench uses a four-level rubric. Score 1 means major findings are irreproducible. Score 4 means major findings are fully reproducible. Scores 2 and 3 mean major findings are reproducible, but issues remain."" (§4.1.1, p.6)",
134,"Amelia","PaperRepro: automated computational reproducibility assessment for social science papers","Scope: unit","paper-level",,"Single score assigned per paper/instance based on ""major findings"" collectively, not per individual claim"
134,"Amelia","PaperRepro: automated computational reproducibility assessment for social science papers","Scope: coverage","only focal or primary claims",,"Rubric is scoped to ""major findings"" per instance, not all claims"
135,"Amelia","Automating computational reproducibility in social science: comparing prompt-based and agent-based approaches","Classification","binary","""a classification label of Reproduced or Not Reproduced was assigned to that run"" (p.5)",
135,"Amelia","Automating computational reproducibility in social science: comparing prompt-based and agent-based approaches","Scope: unit","not specified",,
135,"Amelia","Automating computational reproducibility in social science: comparing prompt-based and agent-based approaches","Scope: coverage","not specified",,
136,"Amelia","Artisan: agentic artifact evaluation","Classification","ordinal","""The method judge classifies the reproduction method into three categories: Copied results… Last-mile reproduction… Full reproduction"" (p. 8). For the output judge: ""classifies the result into four categories: Static error/Runtime error/Mismatched results/Success"" (p. 7).","Only last-mile and full reproduction count as success in their reported metric — so the effective success scale is ordinal with three meaningful levels (non-reproducing/last-mile/full)."
136,"Amelia","Artisan: agentic artifact evaluation","Scope: unit","claim-level","""given a research paper p, a table t with numerical results from p, and an artifact URL u, automatically generate a reproduction script s that reproduces t using the artifact"" (p. 3)","The unit is the individual table (which is the paper's operationalization of a ""claim"")."
136,"Amelia","Artisan: agentic artifact evaluation","Scope: coverage","fixed number of claims","""Starting from all 89 tables contained in the 23 papers, we exclude 21 non-result tables… We also exclude six tables that we fail to reproduce… and one table that requires 400 GB of RAM… Finally, we exclude one table that only contains non-deterministic results"" (p. 10).","tables are actively filtered and capped by the their budget (8 hours)"
137,"Amelia","Overcoming barriers to computational reproducibility","Classification","binary","""If these are identical, the spot check is successful, and it can be concluded that the full analysis is likely reproducible."" (p.10)",
137,"Amelia","Overcoming barriers to computational reproducibility","Scope: unit","claim-level","""only a few arbitrarily selected partial results (e.g., individual replications in simulation studies) are recomputed"" (p.10)",
137,"Amelia","Overcoming barriers to computational reproducibility","Scope: coverage","fixed number of claims","""only a few arbitrarily selected partial results (e.g., individual replications in simulation studies) are recomputed"" (p.10)",
138,"Amelia","Reproducibility and robustness of economics and political science research","Classification","not specified",,
138,"Amelia","Reproducibility and robustness of economics and political science research","Scope: unit","not specified",,
138,"Amelia","Reproducibility and robustness of economics and political science research","Scope: coverage","not specified",,
139,"Amelia","PRIMAD-LID: a developed framework for computational reproducibility","Classification","continuum","""coverage dimension -- coverage indicates reproducibility success, illustrating how much of the experiment has been or could be reproduced."" (p. 15) and ""In the reproducibility literature, it is widely recognised that reproducibility is not a binary concept but rather a spectrum"" (p. 7)","While the authors claim the believe that reproducibility assessment should be placed in a continuum, the description is rather vague and implicit."
139,"Amelia","PRIMAD-LID: a developed framework for computational reproducibility","Scope: unit","not specified",,
