"paper_id","coder","paper_title","doi","timestamp","B1","B1A","C1","C2","D1","D1A","D2","D2A","E1","E1A","E1B","E1C","E1D","E1E","E1F","F1","F2","F3","notes"
44,"Amelia","Active maintenance: a proposal for the long-term computational reproducibility of scientific results","10.1017/s1049096521000366","2026/07/20 21:44:45","Yes. Paper explicitly targets one or more named disciplines","Political Science","Guidelines/policy paper","Empirical audit/assessment","Yes","Computational reproducibility: ""A study is computationally reproducible if a sufficiently savvy third party could download the code and data from a public repository and successfully execute the analysis with minimal difficulty."" (p. 462). 

Computational reproducibility: ""...or the ability to reproduce analytic results of a scientific study on the basis of publicly available code and data..."" (Abstract)","No. The paper treats reproducibility as context-independent or does not address variation.",,"Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Narrative (implicit)","Containerization (e.g., Docker, Singularity, CodeOcean, Binder, WholeTale, etc.)","R, Stata, SPSS","Not described","Partial automation. Some steps are automated and some require human judgment.","No. Automation is present but does not involve LLMs.","No","Authors (self-check), Third-party/independent reproducers/replicators, archive/repository staff (librarian)","After publication",
45,"Amelia","Toward reusable science with readable code and reproducibility","10.48550/arxiv.2109.10387","2026/06/16 12:24:14","No. Paper is general with no named target discipline.",,"Technical tool/workflow paper","User study (e.g., survey, interview, focus group discussion -- with computational reproducibility as the main topic)","Yes","...defined as the ability to obtain consistent results using the same input data, code, computational steps, and methods (p. 1)","No. The paper treats reproducibility as context-independent or does not address variation.",,"Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Narrative (implicit)","Literate programming/dynamic documents","R","Not described","Partial automation. Some steps are automated and some require human judgment.","No. Automation is present but does not involve LLMs.","No","Authors (self-check)","Before submission, proactively",
46,"Amelia","Reproducible research in R: a tutorial on how to do the same thing more than once","10.3390/psych3040053","2026/07/20 22:26:27","No. Paper is general with no named target discipline.",,"Technical tool/workflow paper","Educational/training resource","Yes","Computational reproducibility:  ""..is the ability to obtain identical results from the same data with the same computer code."" (Abstract)

Reproducibility: ""..can be defined as the ability of anyone to obtain identical results from the same data with the same computer code"" (p. 837)","No. The paper treats reproducibility as context-independent or does not address variation.",,"Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Step-by-step (explicit)","Literate programming/dynamic documents, Containerization (e.g., Docker, Singularity, CodeOcean, Binder, WholeTale, etc.), Version control, Package/dependency management","R","Survey/experimental","Full automation. The entire proposed workflow is automated with no required manual steps.","No. Automation is present but does not involve LLMs.","No","Authors (self-check), Third-party/independent reproducers/replicators","Not described",
47,"Amelia","The science of open (communication) science: toward an evidence-driven understanding of quality criteria in communication research","10.1093/joc/jqab032","2026/07/14 20:30:13","Yes. Paper explicitly targets one or more named disciplines","Communication science","Conceptual/review paper",,"Yes","Reproducibility: “obtaining consistent results using the same input data; computational steps, methods, and code; and conditions of analysis” (p. 689)","Yes. The paper explicitly notes that reproducibility looks different and is practiced differently depending on context.","Study design, Data type","No. The paper discusses reproducibility in general but does NOT describe a specific workflow or tool.",,,,,,,"No","Not described","Not described",
48,"Amelia","Challenges of curating for reproducible and FAIR research output","10.15497/rda00063","2026/07/20 21:08:46","No. Paper is general with no named target discipline.",,"User study (e.g., survey, interview, focus group discussion -- with computational reproducibility as the main topic)","Guidelines/policy paper","Yes","Computational reproducibility: ""..as the ability to repeat the analysis and arrive at the same result"" (p.3)","Yes. The paper explicitly notes that reproducibility looks different and is practiced differently depending on context.","Scientific discipline, Data type, Data or material license","Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Narrative (implicit)","Literate programming/dynamic documents, Containerization (e.g., Docker, Singularity, CodeOcean, Binder, WholeTale, etc.), Version control","Not described","Not described","Not described","Not applicable. E1e = Manual only or Not described.","No","Data editors, Peer reviewers, Third-party/independent reproducers/replicators","Not described",
49,"Amelia","The fundamental principles of reproducibility","10.1098/rsta.2020.0210","2026/07/15 15:00:42","No. Paper is general with no named target discipline.",,"Conceptual/review paper",,"Yes","Reproducibility: ""is the ability of independent investigators to draw the same conclusions from an experiment by following the documentation shared by the original investigators."" (p. 10)","No. The paper treats reproducibility as context-independent or does not address variation.",,"No. The paper discusses reproducibility in general but does NOT describe a specific workflow or tool.",,,,,,,"No","Third-party/independent reproducers/replicators","Not described",
50,"Amelia","Fixing dependency errors for python build reproducibility","10.1145/3460319.3464797","2026/07/17 12:11:34","No. Paper is general with no named target discipline.",,"Technical tool/workflow paper","Empirical audit/assessment","Yes","Reproducibility: ""..the repeatability of the process of establishing a fact or of conditions under which the same fact can be observed"" (p. 439)","No. The paper treats reproducibility as context-independent or does not address variation.",,"Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Step-by-step (explicit)","Package/dependency management","Python","Not described","Full automation. The entire proposed workflow is automated with no required manual steps.","No. Automation is present but does not involve LLMs.","No","Not described","Not described",
51,"Amelia","A reproducible data analysis workflow with R Markdown, Git, Make, and Docker","10.5964/qcmb.3763","2026/07/20 22:17:17","No. Paper is general with no named target discipline.",,"Technical tool/workflow paper","Educational/training resource","Yes","Computational reproducibility: ""...the analysis exactly reproduces at a later point in time even if the computing platform or software is changed"" (Abstract)

Reproducibility: ""...is the ability to obtain identical results from the same statistical analysis and the same data. For us, statistical results are only reproducible if their generating, computational workflow is reported completely and transparently, and remains permanently available, such that the workflow can be re-run by a different person or later in time, and that the results remain identical to those initially reported"" (p.2)","No. The paper treats reproducibility as context-independent or does not address variation.",,"Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Step-by-step (explicit)","Literate programming/dynamic documents, Containerization (e.g., Docker, Singularity, CodeOcean, Binder, WholeTale, etc.), Version control, Package/dependency management","R","Not described","Partial automation. Some steps are automated and some require human judgment.","No. Automation is present but does not involve LLMs.","No","Authors (self-check)","Not described",
52,"Amelia","CODECHECK: an open science initiative for the independent execution of computations underlying research articles during peer review to improve reproducibility","10.12688/f1000research.51738.2","2026/07/17 12:40:51","No. Paper is general with no named target discipline.",,"Technical tool/workflow paper",,"Yes","Computational results: ""..code generates the output it claims to create"" (p. 4)","Yes. The paper explicitly notes that reproducibility looks different and is practiced differently depending on context.","Scientific discipline, Data type, Data or material license, Programming language or software","Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Step-by-step (explicit)","Containerization (e.g., Docker, Singularity, CodeOcean, Binder, WholeTale, etc.)","R","Proprietary/confidential data","Manual only. The workflow is entirely manual.","Not applicable. E1e = Manual only or Not described.","Yes","Data editors, Peer reviewers, Third-party/independent reproducers/replicators","After acceptance, before publication, After publication, parallel to peer-review",
53,"Amelia","Science capsule: towards sharing and reproducibility of scientific workflows","10.1109/works54523.2021.00014","2026/07/14 21:03:59","No. Paper is general with no named target discipline.",,"Technical tool/workflow paper",,"No",,"No. The paper treats reproducibility as context-independent or does not address variation.",,"Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Step-by-step (explicit)","Containerization (e.g., Docker, Singularity, CodeOcean, Binder, WholeTale, etc.), Version control","Python","Not described","Not described","Not applicable. E1e = Manual only or Not described.","No","Not described","Not described",
54,"Amelia","WORCS: a workflow for open reproducible code in science","10.3233/ds-210031","2026/07/23 21:10:01","No. Paper is general with no named target discipline.",,"Technical tool/workflow paper",,"Yes","Computational reproducibility: ""..means that a third party can exactly recreate the results from the original data, using the published analysis code."" (p. 39)","No. The paper treats reproducibility as context-independent or does not address variation.",,"Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Step-by-step (explicit)","Literate programming/dynamic documents, Containerization (e.g., Docker, Singularity, CodeOcean, Binder, WholeTale, etc.), Version control, Package/dependency management","R","Proprietary/confidential data","Partial automation. Some steps are automated and some require human judgment.","No. Automation is present but does not involve LLMs.","Yes","Authors (self-check), Peer reviewers, Third-party/independent reproducers/replicators","Before submission, proactively, After acceptance, before publication",
55,"Amelia","Computational reproducibility: a practical framework for data curators","10.7191/jeslib.2021.1206","2026/07/22 11:22:00","No. Paper is general with no named target discipline.",,"Guidelines/policy paper","Educational/training resource","Yes","Reproducibility: ""...is simple in that experiments should be designed, executed, and documented in such a way that others can repeat them"" (p. 3)","Yes. The paper explicitly notes that reproducibility looks different and is practiced differently depending on context.","Scientific discipline","Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Step-by-step (explicit)","Literate programming/dynamic documents, Containerization (e.g., Docker, Singularity, CodeOcean, Binder, WholeTale, etc.), Version control, Package/dependency management","Not described","Not described","Manual only. The workflow is entirely manual.","Not applicable. E1e = Manual only or Not described.","No","Authors (self-check), data curators, librarians","all stages of research lifecycle",
56,"Amelia","Reproducibility badging and definitions","10.3789/niso-rp-31-2021","2026/07/17 12:23:18","No. Paper is general with no named target discipline.",,"Guidelines/policy paper",,"Yes","Reproducibility: ""obtaining consistent results using the same input data, computational steps, methods, and code, and conditions of analysis."" (p.1)","No. The paper treats reproducibility as context-independent or does not address variation.",,"No. The paper discusses reproducibility in general but does NOT describe a specific workflow or tool.",,,,,,,"Yes","Third-party/independent reproducers/replicators","Not described",
57,"Amelia","Principles for data analysis workflows","10.1371/journal.pcbi.1008770","2026/07/23 19:31:52","No. Paper is general with no named target discipline.",,"Technical tool/workflow paper","Educational/training resource","Yes","Reproducible: ""Authors provide all the necessary data, and the computer codes to run the analysis again, recreating the results"" (p. 4)","No. The paper treats reproducibility as context-independent or does not address variation.",,"Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Narrative (implicit)","Literate programming/dynamic documents, Containerization (e.g., Docker, Singularity, CodeOcean, Binder, WholeTale, etc.), Version control, Package/dependency management","R, Julia","Not described","Not described","Not applicable. E1e = Manual only or Not described.","No","Not described","Not described",
58,"Amelia","Improving research quality: the view from the UK reproducibility network institutional leads for research improvement","10.1186/s13104-021-05883-3","2026/07/23 18:47:37","No. Paper is general with no named target discipline.",,"Guidelines/policy paper",,"No",,"Yes. The paper explicitly notes that reproducibility looks different and is practiced differently depending on context.","Scientific discipline, Study design","No. The paper discusses reproducibility in general but does NOT describe a specific workflow or tool.",,,,,,,"No","Authors (self-check), Peer reviewers, Third-party/independent reproducers/replicators","Not described",
59,"Amelia","Understanding experiments and research practices for reproducibility: an exploratory study","10.7717/peerj.11140","2026/07/22 10:47:24","No. Paper is general with no named target discipline.",,"User study (e.g., survey, interview, focus group discussion -- with computational reproducibility as the main topic)",,"Yes","Reproducibility: ""..if the experiment can be performed to get the same or similar (close-by) results by a different team using a different experimental setup. The different conditions can be in the steps, data, settings, experimental execution environment, etc"" (p.1-2)","Yes. The paper explicitly notes that reproducibility looks different and is practiced differently depending on context.","Scientific discipline","No. The paper discusses reproducibility in general but does NOT describe a specific workflow or tool.",,,,,,,"No","Not described","Not described",
60,"Amelia","Reproducibility in the social sciences","10.1146/annurev-soc-090221-035954","2026/07/17 12:02:44","Yes. Paper explicitly targets one or more named disciplines","Sociology, General social science","Meta-studies (e.g., scoping review, systematic review, meta-analysis)","Guidelines/policy paper","Yes","Reproducibility: ""a new analyst using the same data would likely not arrive at the same result"" (p.79)","Yes. The paper explicitly notes that reproducibility looks different and is practiced differently depending on context.","Scientific discipline, Study design","Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Narrative (implicit)","Not described","Not described","Survey/experimental, Administrative/register data","Partial automation. Some steps are automated and some require human judgment.","No. Automation is present but does not involve LLMs.","No","Data editors","After acceptance, before publication",
61,"Amelia","A collaborative semantic-based provenance management platform for reproducibility","10.7717/peerj-cs.921","2026/07/22 11:05:14","No. Paper is general with no named target discipline.",,"Technical tool/workflow paper",,"No",,"Yes. The paper explicitly notes that reproducibility looks different and is practiced differently depending on context.","computational vs. non-computational steps in research (research cycles)","Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Narrative (implicit)","Literate programming/dynamic documents","Python","Not described","Partial automation. Some steps are automated and some require human judgment.","No. Automation is present but does not involve LLMs.","No","Authors (self-check)","Not described",
62,"Amelia","Containerization for creating reusable model code","10.18174/sesmo.18074","2026/07/23 21:18:33","No. Paper is general with no named target discipline.",,"Technical tool/workflow paper","Educational/training resource","No",,"No. The paper treats reproducibility as context-independent or does not address variation.",,"Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Step-by-step (explicit)","Containerization (e.g., Docker, Singularity, CodeOcean, Binder, WholeTale, etc.)","R, NetLogo","Not described","Not described","Not applicable. E1e = Manual only or Not described.","No","Not described","Not described",
63,"Amelia","Toward practical transparent verifiable and long-term reproducible research using guix","10.1038/s41597-022-01720-9","2026/07/23 21:01:26","No. Paper is general with no named target discipline.",,"Technical tool/workflow paper",,"Yes","""Reproducibility of the computational environment is driven by transparency. To be fully reproducible one computational environment must be defined by (i) the source code of the software and libraries used (ii) the various options or configuration are required at build-time or run-time and (iii) the complete graph that fixes all the dependencies."" (p.8)","No. The paper treats reproducibility as context-independent or does not address variation.",,"Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Step-by-step (explicit)","Containerization (e.g., Docker, Singularity, CodeOcean, Binder, WholeTale, etc.), Version control, Package/dependency management","R","Not described","Partial automation. Some steps are automated and some require human judgment.","No. Automation is present but does not involve LLMs.","No","Not described","Not described",
64,"Amelia","Reproducibility signals in science: a preliminary analysis","10.18653/v1/2022.wiesp-1.16","2026/06/15 19:08:16","No. Paper is general with no named target discipline.",,"Empirical audit/assessment",,"No",,"Yes. The paper explicitly notes that reproducibility looks different and is practiced differently depending on context.","Scientific discipline, Study design","No. The paper discusses reproducibility in general but does NOT describe a specific workflow or tool.",,,,,,,"No","Not described","Not described",
65,"Amelia","Long-term availability of data associated with articles in PLOS ONE","10.1371/journal.pone.0272845","2026/07/14 14:36:24","No. Paper is general with no named target discipline.",,"Empirical audit/assessment",,"No",,"No. The paper treats reproducibility as context-independent or does not address variation.",,"No. The paper discusses reproducibility in general but does NOT describe a specific workflow or tool.",,,,,,,"No","Not described","Not described",
66,"Amelia","Reproducible research publication workflow: a canonical workflow framework and FAIR digital object approach to quality research output","10.1162/dint_a_00133","2026/07/20 21:34:17","Yes. Paper explicitly targets one or more named disciplines","Economics, Political Science, General social science","Technical tool/workflow paper","Guidelines/policy paper","No",,"Yes. The paper explicitly notes that reproducibility looks different and is practiced differently depending on context.","Scientific discipline, Data type, Data or material license, Programming language or software","Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Step-by-step (explicit)","Not described","Not described","Survey/experimental, Proprietary/confidential data","Partial automation. Some steps are automated and some require human judgment.","No. Automation is present but does not involve LLMs.","No","Data editors, Peer reviewers","Before submission, proactively, After acceptance, before publication",
67,"Amelia","Tools and recommendations for reproducible teaching","10.1080/26939169.2022.2138645","2026/07/14 13:41:08","No. Paper is general with no named target discipline.",,"Educational/training resource","Technical tool/workflow paper","Yes","Computational reproducibility is defined as having information about code, data, and software to replicate the findings which usually is beyond what is provided in a traditional research article (p. 252)","No. The paper treats reproducibility as context-independent or does not address variation.",,"Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Narrative (implicit)","Version control","Not described","Not described","Not described","Not applicable. E1e = Manual only or Not described.","No","Third-party/independent reproducers/replicators","Not described",
68,"Amelia","Protecting against researcher bias in secondary data analysis: challenges and potential solutions","10.1007/s10654-021-00839-0","2026/06/16 13:35:06","No. Paper is general with no named target discipline.",,"Guidelines/policy paper",,"No",,"No. The paper treats reproducibility as context-independent or does not address variation.",,"No. The paper discusses reproducibility in general but does NOT describe a specific workflow or tool.",,,,,,,"No","Not described","Not described",
69,"Amelia","The interdependence of data producers and data users: how researchers’ behaviors can support or hinder each other","10.31222/osf.io/yp3ct","2026/07/16 20:27:38","No. Paper is general with no named target discipline.",,"User study (e.g., survey, interview, focus group discussion -- with computational reproducibility as the main topic)","Guidelines/policy paper","No",,"No. The paper treats reproducibility as context-independent or does not address variation.",,"No. The paper discusses reproducibility in general but does NOT describe a specific workflow or tool.",,,,,,,"No","Not described","Not described",
70,"Amelia","The Stark realities of reproducible statistically orientated sociological research: Some newer rules of the sociological method","10.1177/20597991221111681","2026/07/14 20:42:04","Yes. Paper explicitly targets one or more named disciplines","Sociology","Guidelines/policy paper",,"Yes","Duplication: ""Results are duplicated when they are consistently reproduced using the same research data and data analytical techniques. We argue that a sociological analysis can be described as being ‘duplicated’ when a third party that is unconnected with the original analysis can produce results that are identical (e.g. they match published results)."" (p. 208)","Yes. The paper explicitly notes that reproducibility looks different and is practiced differently depending on context.","Study design, Data type, Programming language or software","Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Step-by-step (explicit)","Literate programming/dynamic documents","Not described","Not described","Manual only. The workflow is entirely manual.","Not applicable. E1e = Manual only or Not described.","No","Authors (self-check)","Before submission, proactively",
71,"Amelia","Teaching for Large-Scale Reproducibility Verification","10.1080/26939169.2022.2074582","2026/07/24 07:58:22","Yes. Paper explicitly targets one or more named disciplines","Economics","Educational/training resource","Technical tool/workflow paper","No",,"Yes. The paper explicitly notes that reproducibility looks different and is practiced differently depending on context.","Data type, Data or material license","Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Step-by-step (explicit)","Version control, Package/dependency management","Stata, Matlab","Administrative/register data, Proprietary/confidential data","Partial automation. Some steps are automated and some require human judgment.","No. Automation is present but does not involve LLMs.","No","Data editors, Third-party/independent reproducers/replicators","After acceptance, before publication",
72,"Amelia","Care to share? Experimental evidence on code sharing behavior in the social sciences","10.1371/journal.pone.0289380","2026/07/16 11:55:56","Yes. Paper explicitly targets one or more named disciplines","Sociology, General social science","User study (e.g., survey, interview, focus group discussion -- with computational reproducibility as the main topic)",,"No",,"No. The paper treats reproducibility as context-independent or does not address variation.",,"No. The paper discusses reproducibility in general but does NOT describe a specific workflow or tool.",,,,,,,"No","Not described","Not described",
73,"Amelia","A backend platform for supporting the reproducibility of computational experiments","10.48550/arxiv.2308.00703","2026/07/13 20:17:15","No. Paper is general with no named target discipline.",,"Technical tool/workflow paper","User study (e.g., survey, interview, focus group discussion -- with computational reproducibility as the main topic)","Yes","Reproducibility is the ability to replicate the results of a study using the original methods, materials, and data (p. 1)","No. The paper treats reproducibility as context-independent or does not address variation.",,"Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Step-by-step (explicit)","Containerization (e.g., Docker, Singularity, CodeOcean, Binder, WholeTale, etc.)","Not described","Not described","Partial automation. Some steps are automated and some require human judgment.","No. Automation is present but does not involve LLMs.","No","Authors (self-check)","Before submission, proactively",
74,"Amelia","Reproducibility as a service","10.1002/spe.3202","2026/07/24 09:26:00","No. Paper is general with no named target discipline.",,"Technical tool/workflow paper","Empirical audit/assessment","No",,"Yes. The paper explicitly notes that reproducibility looks different and is practiced differently depending on context.","Programming language or software","Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Step-by-step (explicit)","Containerization (e.g., Docker, Singularity, CodeOcean, Binder, WholeTale, etc.), Package/dependency management","R","Not described","Partial automation. Some steps are automated and some require human judgment.","No. Automation is present but does not involve LLMs.","No","Authors (self-check), Data editors","Before submission, proactively, After acceptance, before publication",
75,"Amelia","Reinforcing reproducibility and replicability: an introduction","10.1162/99608f92.9ba2bd43","2026/07/24 07:14:44","Yes. Paper explicitly targets one or more named disciplines","Economics","Guidelines/policy paper",,"No",,"Yes. The paper explicitly notes that reproducibility looks different and is practiced differently depending on context.","Data or material license","No. The paper discusses reproducibility in general but does NOT describe a specific workflow or tool.",,,,,,,"No","Authors (self-check), Data editors, Third-party/independent reproducers/replicators","Before submission, proactively, After publication",
76,"Amelia","Making provenance work for you","10.32614/rj-2023-003","2026/07/16 13:24:56","No. Paper is general with no named target discipline.",,"Technical tool/workflow paper","Educational/training resource","No",,"No. The paper treats reproducibility as context-independent or does not address variation.",,"Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Narrative (implicit)","Not described","R","Not described","Partial automation. Some steps are automated and some require human judgment.","No. Automation is present but does not involve LLMs.","No","Not described","Not described",
77,"Amelia","Report of the AEA data editor","10.1257/pandp.113.850","2026/07/23 22:12:16","Yes. Paper explicitly targets one or more named disciplines","Economics","Empirical audit/assessment","Guidelines/policy paper","No",,"No. The paper treats reproducibility as context-independent or does not address variation.",,"Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Narrative (implicit)","Containerization (e.g., Docker, Singularity, CodeOcean, Binder, WholeTale, etc.), Package/dependency management","R, Python, Stata, Julia","Proprietary/confidential data","Manual only. The workflow is entirely manual.","Not applicable. E1e = Manual only or Not described.","No","Data editors, Third-party/independent reproducers/replicators","After acceptance, before publication, After publication",
78,"Amelia","CRRESS - session 4 - reproducibility and confidential data","10.31222/osf.io/vsj8u","2026/07/24 06:10:07","Yes. Paper explicitly targets one or more named disciplines","Economics","Guidelines/policy paper",,"Yes","Reproducibility: ""This package (data, code, tables, figures) and the results presented in the paper (tables, figures) are consistent."" (Slide 10, ""An alternative view on 'reproducibility and replication'"")","Yes. The paper explicitly notes that reproducibility looks different and is practiced differently depending on context.","Data or material license","Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Step-by-step (explicit)","Not described",,"Administrative/register data, Proprietary/confidential data","Manual only. The workflow is entirely manual.","Not applicable. E1e = Manual only or Not described.","No","Data editors, Third-party/independent reproducers/replicators","Not described",
79,"Amelia","A review of containerization for interactive and reproducible analysis","10.52933/jdssv.v3i1.53","2026/07/16 10:23:41","No. Paper is general with no named target discipline.",,"Technical tool/workflow paper",,"No",,"No. The paper treats reproducibility as context-independent or does not address variation.",,"Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Step-by-step (explicit)","Literate programming/dynamic documents, Containerization (e.g., Docker, Singularity, CodeOcean, Binder, WholeTale, etc.), Version control, Package/dependency management","R, Python","Not described","Not described","Not applicable. E1e = Manual only or Not described.","No","Authors (self-check), Peer reviewers","Not described",
80,"Amelia","Replication of the morning after: report from the nottingham replication games","10.31235/osf.io/a2d5p","2026/07/20 20:25:57","Yes. Paper explicitly targets one or more named disciplines","Political Science","Replication/reproduction attempt",,"No",,"No. The paper treats reproducibility as context-independent or does not address variation.",,"Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Narrative (implicit)","Not described","R, Stata","Not described","Manual only. The workflow is entirely manual.","Not applicable. E1e = Manual only or Not described.","No","Data editors, Third-party/independent reproducers/replicators","After publication",
81,"Amelia","statacons: An SCons-based build tool for Stata","10.1177/1536867x231162032","2026/07/14 21:20:58","No. Paper is general with no named target discipline.",,"Technical tool/workflow paper",,"No",,"No. The paper treats reproducibility as context-independent or does not address variation.",,"Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Step-by-step (explicit)","Literate programming/dynamic documents, Version control","Python, Stata","Not described","Partial automation. Some steps are automated and some require human judgment.","No. Automation is present but does not involve LLMs.","No","Not described","Not described",
82,"Amelia","Supporting reproducible research","https://arcabc.ca/islandora/object/tru%3a6265","2026/07/15 19:18:45","No. Paper is general with no named target discipline.",,"Educational/training resource",,"Yes","Reproducibility: ""is the ability to take the original methods and data and get the same results."" (p.171)

""Computational reproducibility: ""which is the ability to rerun a pipeline using the original computational environment and dependencies, facilitated through the use of research compedia"" (p.178)","Yes. The paper explicitly notes that reproducibility looks different and is practiced differently depending on context.","Scientific discipline, Study design, Data type","Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Narrative (implicit)","Literate programming/dynamic documents, Containerization (e.g., Docker, Singularity, CodeOcean, Binder, WholeTale, etc.), Version control, Package/dependency management","R, Python, Julia","Text/NLP, Proprietary/confidential data","Partial automation. Some steps are automated and some require human judgment.","No. Automation is present but does not involve LLMs.","No","Authors (self-check), Peer reviewers, Third-party/independent reproducers/replicators","Before submission, proactively, After publication",
83,"Amelia","Reproducibility and transparency versus privacy and confidentiality: Reflections from a data editor","10.1016/j.jeconom.2023.05.001","2026/07/24 06:22:58","Yes. Paper explicitly targets one or more named disciplines","Economics","Guidelines/policy paper","Empirical audit/assessment","Yes","Reproducibility: ""refers to the ability of a researcher to duplicate the results of a prior study using the same materials and procedures as were used by the original investigator.""","Yes. The paper explicitly notes that reproducibility looks different and is practiced differently depending on context.","Scientific discipline, Data type, Data or material license","Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Step-by-step (explicit)","Not described","Not described","Administrative/register data, Proprietary/confidential data","Manual only. The workflow is entirely manual.","Not applicable. E1e = Manual only or Not described.","No","Data editors, Third-party/independent reproducers/replicators","After acceptance, before publication",
84,"Amelia","Replications in agricultural economics","10.1002/aepp.13386","2026/07/14 14:40:06","Yes. Paper explicitly targets one or more named disciplines","Economics","Guidelines/policy paper",,"Yes","Repeatability: ""Repeatability is examined by using the same data or new data from the same population and exactly the same methodology in a very broad sense as described above. Very small deviations in the results, for example, due to different numerical inaccuracies on different computers, different software, or random differences between the original sample and the new sample of the same population, can be tolerated but the main conclusions need to remain unchanged and differences in estimated magnitudes need to be negligible for those who use these estimated magnitudes."" (p. 1261)","Yes. The paper explicitly notes that reproducibility looks different and is practiced differently depending on context.","Data or material license, Programming language or software","Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Narrative (implicit)","Not described","Not described","Proprietary/confidential data","Not described","Not applicable. E1e = Manual only or Not described.","No","Data editors, Peer reviewers, Third-party/independent reproducers/replicators","After publication",
85,"Amelia","The Role of Third-Party Verification in Research Reproducibility","10.1162/99608f92.6d4bf9eb","2026/07/21 14:12:09","Yes. Paper explicitly targets one or more named disciplines","Economics, Management/Business, Finance","Technical tool/workflow paper","Guidelines/policy paper","Yes","Reproducibility: ""..an empirical result is deemed reproducible if it can be recreated by running the original code of the authors on the original data"" (p.2)","No. The paper treats reproducibility as context-independent or does not address variation.",,"Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Narrative (implicit)","Not described","Not described","Administrative/register data, Proprietary/confidential data","Manual only. The workflow is entirely manual.","Not applicable. E1e = Manual only or Not described.","Yes","Data editors, Third-party/independent reproducers/replicators","Before submission, proactively, After acceptance, before publication",
86,"Amelia","What makes computational communication science (ir)reproducible?","10.5117/ccr2024.1.5.chan","2026/07/13 19:49:30","Yes. Paper explicitly targets one or more named disciplines","Communication science","Empirical audit/assessment","Technical tool/workflow paper","Yes","Reproducibility: ""one must perform the same analysis on the same dataset, i.e. execute the code with the data, and check whether the same answer can be obtained consistently.""","No. The paper treats reproducibility as context-independent or does not address variation.",,"Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Step-by-step (explicit)","Containerization (e.g., Docker, Singularity, CodeOcean, Binder, WholeTale, etc.), Package/dependency management","Not described","Survey/experimental, Not described","Partial automation. Some steps are automated and some require human judgment.","No. Automation is present but does not involve LLMs.","No","Third-party/independent reproducers/replicators","After publication",
87,"Amelia","Measuring transparency in the social sciences: political science and international relations","10.1098/rsos.240313","2026/07/22 11:48:09","Yes. Paper explicitly targets one or more named disciplines","Political Science, International relation","Empirical audit/assessment",,"Yes","computational reproducibility: ""..making available the data and code of a paper’s results, for others to reproduce them."" (p. 2)","Yes. The paper explicitly notes that reproducibility looks different and is practiced differently depending on context.","Scientific discipline","No. The paper discusses reproducibility in general but does NOT describe a specific workflow or tool.",,,,,,,"No","Data editors, Peer reviewers","Not described",
